feature,age_pearson,abs_corr,modality
CD4_Naïve__SYNE2,0.5977464192851949,0.5977464192851949,RNA
cMono__PELI1,-0.5564981321340292,0.5564981321340292,RNA
CD4_Naïve__TCEAL2,0.5521802830326786,0.5521802830326786,RNA
CD4_Tcm__KLRB1,-0.5111184917384024,0.5111184917384024,RNA
CD8_CTL__PIK3IP1,-0.5103215139227378,0.5103215139227378,RNA
CD4_Treg__SYNE2,0.5091445192976917,0.5091445192976917,RNA
cMono__ACTN1,-0.4889787836252085,0.4889787836252085,RNA
CD4_Treg__TCF7,-0.47211075648959616,0.47211075648959616,RNA
CD4_Naïve__ANKRD12,0.4713812713069055,0.4713812713069055,RNA
cMono__ZNF655,-0.46610627009066585,0.46610627009066585,RNA
CD4_Naïve__MPHOSPH8,0.464788816553533,0.464788816553533,RNA
CD4_Naïve__RGS10,-0.46414195447119944,0.46414195447119944,RNA
CD8_CTL__EEF1B2,-0.463036641373136,0.463036641373136,RNA
CD8_CTL__NFKBIZ,-0.4620503113357512,0.4620503113357512,RNA
CD8_CTL__RGS10,-0.46197058861651064,0.46197058861651064,RNA
CD4_Naïve__SOX4,-0.46168015566208614,0.46168015566208614,RNA
CD4_Naïve__SF3B1,-0.4615607433253016,0.4615607433253016,RNA
CD8_CTL__GOLGA8B,-0.4611576827649894,0.4611576827649894,RNA
CD8_Tem__ZBTB1,-0.4571951092106364,0.4571951092106364,RNA
Naïve_B__KMT2C,0.4568216251902217,0.4568216251902217,RNA
Swit.Bm__PDS5B,0.4553846042383031,0.4553846042383031,RNA
CD4_Helper__SYNE2,0.45439767523005575,0.45439767523005575,RNA
CD4_Treg__SATB1,-0.4535408619858334,0.4535408619858334,RNA
CD8_CTL__SRSF11,-0.4528767943440814,0.4528767943440814,RNA
cMono__IRS2,-0.44721155584136035,0.44721155584136035,RNA
CD8_Tem__IGFBP3,0.4455726725992717,0.4455726725992717,RNA
CD4_Naïve__PLXDC1,-0.4455420389428584,0.4455420389428584,RNA
DC__GNAI2,0.4409105918612296,0.4409105918612296,RNA
CD8_CTL__SF1,-0.44053979875859706,0.44053979875859706,RNA
CD4_Treg__GNAI2,0.44050087721021236,0.44050087721021236,RNA
CD4_Naïve__NAP1L2,0.437553845126535,0.437553845126535,RNA
CD4_Treg__SESN1,-0.43661599181269994,0.43661599181269994,RNA
CD4_Naïve__SERPINE2,-0.43604646642756145,0.43604646642756145,RNA
cMono__KANSL1,-0.4359045875103447,0.4359045875103447,RNA
Naïve_B__PIK3IP1,-0.43522984303809453,0.43522984303809453,RNA
cMono__BTG1,-0.4336694850331348,0.4336694850331348,RNA
CD4_Naïve__RNF20,0.4324266079365509,0.4324266079365509,RNA
CD8_CTL__TBC1D4,-0.4314588900234048,0.4314588900234048,RNA
cMono__SF3B1,-0.43016577317025506,0.43016577317025506,RNA
Prolif.T__SLC25A10,0.4296479145385019,0.4296479145385019,RNA
CD4_Naïve__ATRX,0.42796471799916247,0.42796471799916247,RNA
CD8_CTL__HIF1A,-0.4268538496088239,0.4268538496088239,RNA
Swit.Bm__MAPK8IP3,-0.42625883889954086,0.42625883889954086,RNA
CD4_Naïve__GYPC,-0.4250454912702226,0.4250454912702226,RNA
cMono__IRF2BP2,-0.4222837024837915,0.4222837024837915,RNA
cMono__KIAA0319L,-0.42154738128070246,0.42154738128070246,RNA
cMono__UQCRB,-0.4214660968143199,0.4214660968143199,RNA
Swit.Bm__IGHM,-0.42054236789059163,0.42054236789059163,RNA
CD4_Naïve__STAT4,0.42008812525936723,0.42008812525936723,RNA
cMono__MAP2K3,-0.41893120356828,0.41893120356828,RNA
DC__SF3B1,-0.41822302699202146,0.41822302699202146,RNA
CD4_Tcm__SF3B1,-0.41820016812856714,0.41820016812856714,RNA
CD4_Naïve__IL2RB,0.4175555365481885,0.4175555365481885,RNA
CD4_Naïve__IRF2BP2,-0.4155977799273421,0.4155977799273421,RNA
cMono__RASSF5,-0.41526452258083124,0.41526452258083124,RNA
CD8_CTL__SF3B1,-0.41461433780732077,0.41461433780732077,RNA
Swit.Bm__SF3B1,-0.4143001008850165,0.4143001008850165,RNA
CD8_CTL__UXT,-0.41281371792120014,0.41281371792120014,RNA
CD8_CTL__KIF21A,0.41279392647221136,0.41279392647221136,RNA
γδT2__SH3RF2,0.41267588713987524,0.41267588713987524,RNA
CD4_Naïve__SLFN12L,0.4115168099872578,0.4115168099872578,RNA
CD4_Tcm__AIRE,0.41141735910385707,0.41141735910385707,RNA
cMono__BIN2,-0.41126281476429094,0.41126281476429094,RNA
Swit.Bm__LEPROTL1,-0.41089732552212216,0.41089732552212216,RNA
CD8_CTL__TNFRSF25,-0.4108922303750406,0.4108922303750406,RNA
CD4_Treg__EEF1B2,-0.4108854846993862,0.4108854846993862,RNA
DC__RSL1D1,-0.4107897552991144,0.4107897552991144,RNA
cMono__SRSF10,-0.4107064138688633,0.4107064138688633,RNA
CD4_Naïve__ZFP36L2,-0.4100729011031362,0.4100729011031362,RNA
CD8_Tem__CCDC12,0.40982249063046583,0.40982249063046583,RNA
cMono__DIP2A,-0.40960538229934035,0.40960538229934035,RNA
DC__DGKA,-0.4095715697567675,0.4095715697567675,RNA
CD4_Naïve__DPP4,0.4088441919739012,0.4088441919739012,RNA
CD8_CTL__RASGRP2,-0.4077695801507532,0.4077695801507532,RNA
CD4_Naïve__GREM2,0.4062456821763301,0.4062456821763301,RNA
CD8_CTL__ATP6V1G1,-0.4059462010654449,0.4059462010654449,RNA
CD4_Naïve__STMN1,-0.4049797175739228,0.4049797175739228,RNA
CD8_CTL__NR2C1,-0.4047732087880337,0.4047732087880337,RNA
CD8_CTL__RCAN3,-0.40395605813072377,0.40395605813072377,RNA
Naïve_B__ZFC3H1,0.40377813545146746,0.40377813545146746,RNA
CD4_Naïve__PPP1R12A,0.4034242129651447,0.4034242129651447,RNA
cMono__CBX4,-0.4023601555386093,0.4023601555386093,RNA
cMono__SATB1,-0.40216609289103233,0.40216609289103233,RNA
CD4_Tcm__AUTS2,-0.4015876057892976,0.4015876057892976,RNA
CD4_Naïve__PIK3IP1,-0.4012987933511411,0.4012987933511411,RNA
DC__SRSF10,-0.40036383760112443,0.40036383760112443,RNA
CD4_Treg__PIK3IP1,-0.4001686004823029,0.4001686004823029,RNA
cMono__LEPROTL1,-0.3999632145417129,0.3999632145417129,RNA
Swit.Bm__ZFP36L2,-0.3994125592572829,0.3994125592572829,RNA
Swit.Bm__SELENOH,-0.399307187113089,0.399307187113089,RNA
cMono__AKNA,-0.3985410613282529,0.3985410613282529,RNA
CD4_Naïve__ATP5ME,-0.3978589941359488,0.3978589941359488,RNA
CD4_Naïve__PTGER2,0.39783895036982997,0.39783895036982997,RNA
cMono__SRSF7,-0.3976644931723193,0.3976644931723193,RNA
CD4_Helper__PIK3IP1,-0.3972290867119667,0.3972290867119667,RNA
CD4_Naïve__ATP5F1E,-0.39685496836731177,0.39685496836731177,RNA
DC__SATB1,-0.39675415928620855,0.39675415928620855,RNA
Prolif.T__C1orf21,0.3967359086024381,0.3967359086024381,RNA
Swit.Bm__UQCRB,-0.39500727602283264,0.39500727602283264,RNA
cMono__SLC11A1,-0.3950003457773645,0.3950003457773645,RNA
cMono__RICTOR,-0.39488624715164916,0.39488624715164916,RNA
cMono__EIF4A2,-0.39473661998426113,0.39473661998426113,RNA
cMono__JDP2,-0.3944175426622529,0.3944175426622529,RNA
Naïve_B__KRAS,0.39438053467034184,0.39438053467034184,RNA
CD4_Naïve__CR2,-0.3942381136750175,0.3942381136750175,RNA
Naïve_B__GNAI2,0.39415539084763346,0.39415539084763346,RNA
CD8_Tem__MYO6,0.39383057014098044,0.39383057014098044,RNA
cMono__PCBP1,-0.3936737126271266,0.3936737126271266,RNA
Naïve_B__CCDC50,0.3935861029889953,0.3935861029889953,RNA
CD4_Tcm__IFITM3,0.39303171033795936,0.39303171033795936,RNA
CD4_Naïve__TCFL5,-0.39283216681720046,0.39283216681720046,RNA
Naïve_B__GYPC,-0.39197501141986024,0.39197501141986024,RNA
CD4_Tcm__CCND3,-0.39115901921216184,0.39115901921216184,RNA
Swit.Bm__PCBP2,-0.39102471300898434,0.39102471300898434,RNA
CD8_CTL__MT-ND4L,-0.39071009671680196,0.39071009671680196,RNA
CD8_CTL__FASLG,0.3903148491629178,0.3903148491629178,RNA
CD4_Naïve__ZC3H13,0.39016451802131097,0.39016451802131097,RNA
CD4_Tcm__PRMT2,-0.3899345612047696,0.3899345612047696,RNA
CD8_CTL__LEPROTL1,-0.38987153386683515,0.38987153386683515,RNA
CD4_Tcm__PPIG,0.3896155128291312,0.3896155128291312,RNA
CD4_Tcm__PIK3IP1,-0.3893577672802567,0.3893577672802567,RNA
CD4_Treg__NR1D2,0.38915457839705275,0.38915457839705275,RNA
DC__GOLGA8B,-0.3886391711890952,0.3886391711890952,RNA
CD8_Tem__B3GNT2,-0.3882209520923833,0.3882209520923833,RNA
cMono__YBX3,-0.38789304878113967,0.38789304878113967,RNA
cMono__ZFP36L2,-0.38779598556721656,0.38779598556721656,RNA
