order,feature,cell_type,gene,age_pearson,abs_corr,modality,source_mode,required_from_model
0,CD4_Naïve__SYNE2,CD4_Naïve,SYNE2,0.5977464192851949,0.5977464192851949,RNA,model_prediction,True
1,cMono__PELI1,cMono,PELI1,-0.5564981321340292,0.5564981321340292,RNA,model_prediction,True
2,CD4_Naïve__TCEAL2,CD4_Naïve,TCEAL2,0.5521802830326786,0.5521802830326786,RNA,model_prediction,True
3,CD4_Tcm__KLRB1,CD4_Tcm,KLRB1,-0.5111184917384024,0.5111184917384024,RNA,model_prediction,True
4,CD8_CTL__PIK3IP1,CD8_CTL,PIK3IP1,-0.5103215139227378,0.5103215139227378,RNA,model_prediction,True
5,CD4_Treg__SYNE2,CD4_Treg,SYNE2,0.5091445192976917,0.5091445192976917,RNA,model_prediction,True
6,cMono__ACTN1,cMono,ACTN1,-0.4889787836252085,0.4889787836252085,RNA,model_prediction,True
7,CD4_Treg__TCF7,CD4_Treg,TCF7,-0.4721107564895961,0.4721107564895961,RNA,model_prediction,True
8,CD4_Naïve__ANKRD12,CD4_Naïve,ANKRD12,0.4713812713069055,0.4713812713069055,RNA,model_prediction,True
9,cMono__ZNF655,cMono,ZNF655,-0.4661062700906658,0.4661062700906658,RNA,model_prediction,True
10,CD4_Naïve__MPHOSPH8,CD4_Naïve,MPHOSPH8,0.464788816553533,0.464788816553533,RNA,model_prediction,True
11,CD4_Naïve__RGS10,CD4_Naïve,RGS10,-0.4641419544711994,0.4641419544711994,RNA,model_prediction,True
12,CD8_CTL__EEF1B2,CD8_CTL,EEF1B2,-0.463036641373136,0.463036641373136,RNA,model_prediction,True
13,CD8_CTL__NFKBIZ,CD8_CTL,NFKBIZ,-0.4620503113357512,0.4620503113357512,RNA,model_prediction,True
14,CD8_CTL__RGS10,CD8_CTL,RGS10,-0.4619705886165106,0.4619705886165106,RNA,model_prediction,True
15,CD4_Naïve__SOX4,CD4_Naïve,SOX4,-0.4616801556620861,0.4616801556620861,RNA,model_prediction,True
16,CD4_Naïve__SF3B1,CD4_Naïve,SF3B1,-0.4615607433253016,0.4615607433253016,RNA,model_prediction,True
17,CD8_CTL__GOLGA8B,CD8_CTL,GOLGA8B,-0.4611576827649894,0.4611576827649894,RNA,model_prediction,True
18,CD8_Tem__ZBTB1,CD8_Tem,ZBTB1,-0.4571951092106364,0.4571951092106364,RNA,model_prediction,True
19,Naïve_B__KMT2C,Naïve_B,KMT2C,0.4568216251902217,0.4568216251902217,RNA,model_prediction,True
20,Swit.Bm__PDS5B,Swit.Bm,PDS5B,0.4553846042383031,0.4553846042383031,RNA,model_prediction,True
21,CD4_Helper__SYNE2,CD4_Helper,SYNE2,0.4543976752300557,0.4543976752300557,RNA,model_prediction,True
22,CD4_Treg__SATB1,CD4_Treg,SATB1,-0.4535408619858334,0.4535408619858334,RNA,model_prediction,True
23,CD8_CTL__SRSF11,CD8_CTL,SRSF11,-0.4528767943440814,0.4528767943440814,RNA,model_prediction,True
24,cMono__IRS2,cMono,IRS2,-0.4472115558413603,0.4472115558413603,RNA,model_prediction,True
25,CD8_Tem__IGFBP3,CD8_Tem,IGFBP3,0.4455726725992717,0.4455726725992717,RNA,model_prediction,True
