sample_id,age_numeric,sex,dataset,n_cells,n_cell_types,age_bin,strat_age_sex,split,benchmark_split,sealed
CIMA_H005,22.0,female,CIMA_multiome,5183,21,0,0__female,train,train,False
CIMA_H006,22.0,female,CIMA_multiome,4433,20,0,0__female,train,train,False
CIMA_H007,24.0,female,CIMA_multiome,5266,21,0,0__female,train,train,False
CIMA_H008,27.0,female,CIMA_multiome,3950,21,1,1__female,train,train,False
CIMA_H009,29.0,female,CIMA_multiome,5528,21,2,2__female,train,train,False
CIMA_H012,70.0,female,CIMA_multiome,4083,21,4,4__female,train,train,False
CIMA_H013,57.0,female,CIMA_multiome,4705,21,4,4__female,train,train,False
CIMA_H016,32.0,female,CIMA_multiome,7725,21,2,2__female,train,train,False
CIMA_H017,28.0,female,CIMA_multiome,5216,21,1,1__female,train,train,False
CIMA_H018,34.0,female,CIMA_multiome,8031,21,3,3__female,train,train,False
CIMA_H022,29.0,female,CIMA_multiome,5883,19,2,2__female,train,validation,False
CIMA_H026,65.0,female,CIMA_multiome,6725,20,4,4__female,train,train,False
CIMA_H027,50.0,female,CIMA_multiome,5402,20,4,4__female,train,train,False
CIMA_H028,42.0,female,CIMA_multiome,5384,20,3,3__female,train,train,False
CIMA_H033,61.0,female,CIMA_multiome,4651,21,4,4__female,train,train,False
CIMA_H036,47.0,female,CIMA_multiome,5185,20,4,4__female,train,train,False
CIMA_H038,25.0,female,CIMA_multiome,6649,20,0,0__female,train,train,False
CIMA_H039,63.0,female,CIMA_multiome,4609,21,4,4__female,train,train,False
CIMA_H040,51.0,female,CIMA_multiome,4909,21,4,4__female,train,train,False
CIMA_H041,35.0,female,CIMA_multiome,6400,21,3,3__female,train,train,False
CIMA_H042,23.0,female,CIMA_multiome,5196,21,0,0__female,train,train,False
CIMA_H044,22.0,female,CIMA_multiome,3218,20,0,0__female,valid,sealed_test,True
CIMA_H045,69.0,female,CIMA_multiome,4440,20,4,4__female,train,train,False
CIMA_H046,22.0,female,CIMA_multiome,5820,20,0,0__female,valid,sealed_test,True
CIMA_H047,56.0,female,CIMA_multiome,4061,21,4,4__female,train,train,False
CIMA_H048,24.0,female,CIMA_multiome,4328,21,0,0__female,train,train,False
CIMA_H049,58.0,female,CIMA_multiome,5710,21,4,4__female,train,train,False
CIMA_H050,25.0,female,CIMA_multiome,2709,20,0,0__female,train,train,False
CIMA_H052,30.0,female,CIMA_multiome,6388,20,2,2__female,valid,sealed_test,True
CIMA_H060,22.0,female,CIMA_multiome,5434,20,0,0__female,train,train,False
CIMA_H067,35.0,female,CIMA_multiome,3462,19,3,3__female,valid,sealed_test,True
CIMA_H068,36.0,female,CIMA_multiome,2447,19,3,3__female,train,validation,False
CIMA_H069,60.0,female,CIMA_multiome,4986,20,4,4__female,train,train,False
CIMA_H070,62.0,female,CIMA_multiome,2299,20,4,4__female,train,train,False
CIMA_H071,38.0,female,CIMA_multiome,6161,21,3,3__female,valid,sealed_test,True
CIMA_H072,29.0,female,CIMA_multiome,7353,21,2,2__female,train,train,False
CIMA_H073,33.0,female,CIMA_multiome,6384,21,2,2__female,train,train,False
CIMA_H074,25.0,female,CIMA_multiome,6592,21,0,0__female,train,train,False
CIMA_H075,28.0,female,CIMA_multiome,3610,21,1,1__female,train,validation,False
CIMA_H076,26.0,female,CIMA_multiome,4485,21,1,1__female,valid,sealed_test,True
CIMA_H080,25.0,female,CIMA_multiome,6523,20,0,0__female,train,train,False
CIMA_H082,29.0,female,CIMA_multiome,4976,20,2,2__female,valid,sealed_test,True
CIMA_H083,24.0,female,CIMA_multiome,6126,21,0,0__female,valid,sealed_test,True
CIMA_H085,32.0,female,CIMA_multiome,5793,19,2,2__female,train,train,False
CIMA_H087,28.0,female,CIMA_multiome,6883,20,1,1__female,train,train,False
CIMA_H088,26.0,female,CIMA_multiome,5658,21,1,1__female,train,validation,False
CIMA_H095,39.0,female,CIMA_multiome,6528,20,3,3__female,train,train,False
CIMA_H098,27.0,female,CIMA_multiome,5501,20,1,1__female,train,train,False
CIMA_H101,30.0,female,CIMA_multiome,7037,20,2,2__female,train,train,False
CIMA_H103,29.0,female,CIMA_multiome,5402,20,2,2__female,train,train,False
CIMA_H104,36.0,female,CIMA_multiome,7079,20,3,3__female,valid,sealed_test,True
CIMA_H105,23.0,female,CIMA_multiome,3430,20,0,0__female,train,train,False
CIMA_H107,26.0,female,CIMA_multiome,1035,20,1,1__female,train,train,False
CIMA_H108,34.0,female,CIMA_multiome,6980,21,3,3__female,train,validation,False
CIMA_H109,26.0,female,CIMA_multiome,7693,20,1,1__female,train,train,False
CIMA_H112,25.0,female,CIMA_multiome,7600,21,0,0__female,train,train,False
CIMA_H113,36.0,female,CIMA_multiome,4617,21,3,3__female,train,train,False
CIMA_H114,32.0,female,CIMA_multiome,7067,21,2,2__female,train,train,False
CIMA_H117,27.0,female,CIMA_multiome,5067,21,1,1__female,train,train,False
CIMA_H121,23.0,female,CIMA_multiome,1481,21,0,0__female,train,train,False
CIMA_H122,35.0,female,CIMA_multiome,5569,21,3,3__female,valid,sealed_test,True
CIMA_H124,31.0,female,CIMA_multiome,4381,21,2,2__female,valid,sealed_test,True
CIMA_H129,27.0,female,CIMA_multiome,7554,21,1,1__female,train,train,False
CIMA_H130,28.0,female,CIMA_multiome,6004,21,1,1__female,train,train,False
CIMA_H131,39.0,female,CIMA_multiome,2745,21,3,3__female,train,train,False
CIMA_H133,28.0,female,CIMA_multiome,3814,21,1,1__female,train,train,False
CIMA_H134,27.0,female,CIMA_multiome,3201,20,1,1__female,train,train,False
CIMA_H135,25.0,female,CIMA_multiome,6889,20,0,0__female,train,train,False
CIMA_H136,32.0,female,CIMA_multiome,6846,20,2,2__female,train,train,False
CIMA_H137,35.0,female,CIMA_multiome,6096,21,3,3__female,train,validation,False
CIMA_H138,21.0,female,CIMA_multiome,7405,20,0,0__female,train,train,False
CIMA_H141,29.0,female,CIMA_multiome,6118,20,2,2__female,train,train,False
CIMA_H142,23.0,female,CIMA_multiome,7980,20,0,0__female,train,train,False
CIMA_H144,27.0,female,CIMA_multiome,5600,21,1,1__female,train,train,False
CIMA_H145,25.0,female,CIMA_multiome,7055,20,0,0__female,train,train,False
CIMA_H146,32.0,female,CIMA_multiome,5100,20,2,2__female,train,train,False
CIMA_H147,31.0,female,CIMA_multiome,5040,21,2,2__female,valid,sealed_test,True
CIMA_H148,21.0,female,CIMA_multiome,7394,20,0,0__female,train,train,False
CIMA_H150,24.0,female,CIMA_multiome,9515,20,0,0__female,train,validation,False
CIMA_H151,31.0,female,CIMA_multiome,8062,20,2,2__female,valid,sealed_test,True
CIMA_H152,32.0,female,CIMA_multiome,7810,20,2,2__female,train,train,False
CIMA_H153,24.0,female,CIMA_multiome,7482,20,0,0__female,train,train,False
CIMA_H159,35.0,female,CIMA_multiome,7748,21,3,3__female,train,train,False
CIMA_H160,64.0,female,CIMA_multiome,3014,20,4,4__female,train,train,False
CIMA_H161,37.0,female,CIMA_multiome,5672,21,3,3__female,train,train,False
CIMA_H167,33.0,female,CIMA_multiome,6055,20,2,2__female,train,train,False
CIMA_H168,29.0,female,CIMA_multiome,5845,20,2,2__female,train,train,False
CIMA_H169,43.0,female,CIMA_multiome,1682,21,3,3__female,train,train,False
CIMA_H170,35.0,female,CIMA_multiome,6706,19,3,3__female,train,train,False
CIMA_H171,30.0,female,CIMA_multiome,6061,21,2,2__female,train,train,False
CIMA_H173,24.0,female,CIMA_multiome,4840,20,0,0__female,train,train,False
CIMA_H174,21.0,female,CIMA_multiome,4829,20,0,0__female,train,validation,False
CIMA_H175,25.0,female,CIMA_multiome,4576,20,0,0__female,train,train,False
CIMA_H176,20.0,female,CIMA_multiome,8147,21,0,0__female,train,train,False
CIMA_H177,29.0,female,CIMA_multiome,7726,21,2,2__female,train,validation,False
CIMA_H178,23.0,female,CIMA_multiome,5961,20,0,0__female,train,train,False
CIMA_H179,27.0,female,CIMA_multiome,7609,20,1,1__female,train,train,False
CIMA_H180,32.0,female,CIMA_multiome,6900,20,2,2__female,train,train,False
CIMA_H181,29.0,female,CIMA_multiome,7308,19,2,2__female,train,train,False
CIMA_H190,30.0,female,CIMA_multiome,4948,21,2,2__female,train,train,False
CIMA_H191,48.0,female,CIMA_multiome,4947,20,4,4__female,train,train,False
CIMA_H192,28.0,female,CIMA_multiome,7037,19,1,1__female,train,train,False
CIMA_H195,70.0,female,CIMA_multiome,2053,20,4,4__female,train,train,False
CIMA_H196,22.0,female,CIMA_multiome,8209,21,0,0__female,valid,sealed_test,True
CIMA_H197,26.0,female,CIMA_multiome,6485,20,1,1__female,train,train,False
CIMA_H199,34.0,female,CIMA_multiome,7359,20,3,3__female,train,train,False
CIMA_H201,30.0,female,CIMA_multiome,9190,20,2,2__female,train,validation,False
CIMA_H202,25.0,female,CIMA_multiome,8854,20,0,0__female,train,train,False
CIMA_H203,27.0,female,CIMA_multiome,7916,20,1,1__female,train,train,False
CIMA_H204,26.0,female,CIMA_multiome,7455,19,1,1__female,train,train,False
CIMA_H205,26.0,female,CIMA_multiome,8431,20,1,1__female,valid,sealed_test,True
CIMA_H207,26.0,female,CIMA_multiome,7776,20,1,1__female,valid,sealed_test,True
CIMA_H209,23.0,female,CIMA_multiome,9051,20,0,0__female,train,validation,False
CIMA_H210,23.0,female,CIMA_multiome,7946,20,0,0__female,valid,sealed_test,True
CIMA_H211,29.0,female,CIMA_multiome,7943,19,2,2__female,train,train,False
CIMA_H213,23.0,female,CIMA_multiome,7030,20,0,0__female,train,train,False
CIMA_H214,36.0,female,CIMA_multiome,6212,20,3,3__female,train,train,False
CIMA_H216,24.0,female,CIMA_multiome,8206,20,0,0__female,train,train,False
CIMA_H217,26.0,female,CIMA_multiome,7121,20,1,1__female,train,train,False
CIMA_H218,35.0,female,CIMA_multiome,8470,20,3,3__female,train,train,False
CIMA_H219,22.0,female,CIMA_multiome,4700,19,0,0__female,train,validation,False
CIMA_H221,59.0,female,CIMA_multiome,4669,20,4,4__female,valid,sealed_test,True
CIMA_H222,23.0,female,CIMA_multiome,5923,20,0,0__female,valid,sealed_test,True
CIMA_H223,21.0,female,CIMA_multiome,7887,21,0,0__female,train,train,False
CIMA_H224,22.0,female,CIMA_multiome,6428,20,0,0__female,valid,sealed_test,True
CIMA_H225,26.0,female,CIMA_multiome,5706,20,1,1__female,train,train,False
CIMA_H226,27.0,female,CIMA_multiome,6905,20,1,1__female,train,train,False
CIMA_H227,23.0,female,CIMA_multiome,6135,19,0,0__female,train,train,False
CIMA_H229,57.0,female,CIMA_multiome,3385,20,4,4__female,train,train,False
CIMA_H232,32.0,female,CIMA_multiome,8966,21,2,2__female,train,train,False
CIMA_H235,27.0,female,CIMA_multiome,9618,21,1,1__female,train,train,False
CIMA_H237,25.0,female,CIMA_multiome,7319,21,0,0__female,train,train,False
CIMA_H238,28.0,female,CIMA_multiome,6654,20,1,1__female,train,train,False
CIMA_H239,29.0,female,CIMA_multiome,7847,20,2,2__female,train,train,False
CIMA_H240,36.0,female,CIMA_multiome,9421,20,3,3__female,train,train,False
CIMA_H241,26.0,female,CIMA_multiome,9576,20,1,1__female,valid,sealed_test,True
CIMA_H242,54.0,female,CIMA_multiome,4868,21,4,4__female,train,train,False
CIMA_H243,27.0,female,CIMA_multiome,8458,20,1,1__female,train,train,False
CIMA_H245,35.0,female,CIMA_multiome,10369,20,3,3__female,train,train,False
CIMA_H246,26.0,female,CIMA_multiome,7151,21,1,1__female,train,train,False
CIMA_H248,37.0,female,CIMA_multiome,5556,20,3,3__female,valid,sealed_test,True
CIMA_H250,26.0,female,CIMA_multiome,7267,20,1,1__female,train,train,False
CIMA_H254,39.0,female,CIMA_multiome,1384,19,3,3__female,train,train,False
