sample_id,age_numeric,sex,dataset,n_cells,n_cell_types,age_bin,strat_age_sex,split,benchmark_split,sealed
CIMA_H010,36.0,male,CIMA_multiome,4878,21,3,3__male,valid,sealed_test,True
CIMA_H011,44.0,male,CIMA_multiome,4342,21,3,3__male,train,validation,False
CIMA_H014,57.0,male,CIMA_multiome,4480,21,4,4__male,train,train,False
CIMA_H015,35.0,male,CIMA_multiome,4937,21,3,3__male,train,train,False
CIMA_H019,42.0,male,CIMA_multiome,5875,20,3,3__male,train,train,False
CIMA_H020,32.0,male,CIMA_multiome,8353,21,2,2__male,train,train,False
CIMA_H021,45.0,male,CIMA_multiome,3683,19,3,3__male,train,train,False
CIMA_H023,32.0,male,CIMA_multiome,6875,20,2,2__male,valid,sealed_test,True
CIMA_H024,43.0,male,CIMA_multiome,5655,20,3,3__male,train,train,False
CIMA_H029,35.0,male,CIMA_multiome,5061,21,3,3__male,train,train,False
CIMA_H030,74.0,male,CIMA_multiome,3877,20,4,4__male,valid,sealed_test,True
CIMA_H031,59.0,male,CIMA_multiome,5626,21,4,4__male,valid,sealed_test,True
CIMA_H032,31.0,male,CIMA_multiome,6662,21,2,2__male,train,train,False
CIMA_H034,30.0,male,CIMA_multiome,5930,20,2,2__male,train,train,False
CIMA_H035,34.0,male,CIMA_multiome,6169,21,3,3__male,valid,sealed_test,True
CIMA_H037,25.0,male,CIMA_multiome,5211,21,0,0__male,train,train,False
CIMA_H043,77.0,male,CIMA_multiome,4337,21,4,4__male,train,train,False
CIMA_H051,31.0,male,CIMA_multiome,1807,20,2,2__male,train,validation,False
CIMA_H053,43.0,male,CIMA_multiome,4787,21,3,3__male,train,train,False
CIMA_H055,31.0,male,CIMA_multiome,5234,20,2,2__male,train,train,False
CIMA_H056,66.0,male,CIMA_multiome,4835,20,4,4__male,train,train,False
CIMA_H057,28.0,male,CIMA_multiome,7346,21,1,1__male,train,train,False
CIMA_H059,23.0,male,CIMA_multiome,3437,21,0,0__male,train,train,False
CIMA_H061,24.0,male,CIMA_multiome,5044,20,0,0__male,train,train,False
CIMA_H063,71.0,male,CIMA_multiome,2847,21,4,4__male,train,train,False
CIMA_H064,51.0,male,CIMA_multiome,2207,20,4,4__male,train,train,False
CIMA_H065,39.0,male,CIMA_multiome,7000,21,3,3__male,train,train,False
CIMA_H066,40.0,male,CIMA_multiome,5305,21,3,3__male,train,train,False
CIMA_H077,27.0,male,CIMA_multiome,5973,21,1,1__male,valid,sealed_test,True
CIMA_H078,28.0,male,CIMA_multiome,7277,21,1,1__male,train,validation,False
CIMA_H079,26.0,male,CIMA_multiome,7510,21,1,1__male,train,train,False
CIMA_H081,28.0,male,CIMA_multiome,5219,20,1,1__male,train,train,False
CIMA_H084,25.0,male,CIMA_multiome,6857,20,0,0__male,train,train,False
CIMA_H086,27.0,male,CIMA_multiome,5445,19,1,1__male,train,train,False
CIMA_H089,24.0,male,CIMA_multiome,7318,20,0,0__male,train,train,False
CIMA_H091,31.0,male,CIMA_multiome,4851,20,2,2__male,train,train,False
CIMA_H092,37.0,male,CIMA_multiome,6272,20,3,3__male,train,train,False
CIMA_H093,30.0,male,CIMA_multiome,5660,20,2,2__male,train,train,False
CIMA_H094,27.0,male,CIMA_multiome,5788,20,1,1__male,valid,sealed_test,True
CIMA_H096,48.0,male,CIMA_multiome,5782,20,4,4__male,train,train,False
CIMA_H097,30.0,male,CIMA_multiome,4540,20,2,2__male,valid,sealed_test,True
CIMA_H099,27.0,male,CIMA_multiome,6506,20,1,1__male,train,validation,False
CIMA_H100,24.0,male,CIMA_multiome,7962,21,0,0__male,train,train,False
CIMA_H102,28.0,male,CIMA_multiome,8107,20,1,1__male,train,train,False
CIMA_H106,53.0,male,CIMA_multiome,1987,20,4,4__male,train,train,False
CIMA_H110,42.0,male,CIMA_multiome,905,19,3,3__male,train,train,False
CIMA_H111,31.0,male,CIMA_multiome,7073,21,2,2__male,valid,sealed_test,True
CIMA_H115,31.0,male,CIMA_multiome,2285,20,2,2__male,train,train,False
CIMA_H116,22.0,male,CIMA_multiome,5975,20,0,0__male,train,train,False
CIMA_H118,25.0,male,CIMA_multiome,6121,20,0,0__male,train,validation,False
CIMA_H120,35.0,male,CIMA_multiome,6482,20,3,3__male,train,train,False
CIMA_H123,29.0,male,CIMA_multiome,4518,21,2,2__male,valid,sealed_test,True
CIMA_H125,27.0,male,CIMA_multiome,5147,20,1,1__male,valid,sealed_test,True
CIMA_H126,22.0,male,CIMA_multiome,6854,20,0,0__male,train,train,False
CIMA_H127,35.0,male,CIMA_multiome,2685,21,3,3__male,train,train,False
CIMA_H132,32.0,male,CIMA_multiome,6496,21,2,2__male,valid,sealed_test,True
CIMA_H139,24.0,male,CIMA_multiome,5208,20,0,0__male,train,train,False
CIMA_H140,30.0,male,CIMA_multiome,7282,20,2,2__male,train,train,False
CIMA_H143,32.0,male,CIMA_multiome,3377,19,2,2__male,train,train,False
