feature,age_pearson,abs_corr,modality
CD4_Naïve__RGS10,-0.5271525400309515,0.5271525400309515,RNA
CD4_Naïve__SOX4,-0.5184513707253527,0.5184513707253527,RNA
DC__SERPINA1,0.516652610579782,0.516652610579782,RNA
CD4_Tcm__AUTS2,-0.5123972617952907,0.5123972617952907,RNA
CD4_Naïve__PTGER2,0.5015037211090864,0.5015037211090864,RNA
CD4_Naïve__SYNE2,0.49990173465543764,0.49990173465543764,RNA
CD4_Helper__SESN3,0.49806674048538135,0.49806674048538135,RNA
DC__SATB1,-0.49741036533264243,0.49741036533264243,RNA
CD4_Naïve__TCEAL2,0.49680113957288485,0.49680113957288485,RNA
DC__TPPP3,0.4945104249218235,0.4945104249218235,RNA
CD4_Naïve__LDOC1,0.49336708502131926,0.49336708502131926,RNA
DC__RNF135,0.48245058006442687,0.48245058006442687,RNA
CD4_Tcm__KLRB1,-0.48221125413265925,0.48221125413265925,RNA
CD4_Naïve__GYPC,-0.47944954066209244,0.47944954066209244,RNA
DC__GNAI2,0.4631687864186734,0.4631687864186734,RNA
DC__S100A11,0.45564223452343344,0.45564223452343344,RNA
CD8_Tem__CD70,0.4532573622182037,0.4532573622182037,RNA
CD4_Tcm__NAP1L2,0.45012141951707596,0.45012141951707596,RNA
CD4_Naïve__PBXIP1,0.4491406199859868,0.4491406199859868,RNA
CD4_Naïve__SESN3,0.4467496442072934,0.4467496442072934,RNA
DC__PGAM1,0.44445007039364304,0.44445007039364304,RNA
DC__ACTN1,-0.4422837366109713,0.4422837366109713,RNA
DC__RHOC,0.44067821405000884,0.44067821405000884,RNA
cMono__TIMP1,0.4358537171358693,0.4358537171358693,RNA
cMono__ARPC4,0.43494029878610063,0.43494029878610063,RNA
CD4_Naïve__KIF21A,0.4333671521911468,0.4333671521911468,RNA
CD4_Tcm__GPSM3,0.4327690565932333,0.4327690565932333,RNA
CD4_Helper__TSHZ2,0.4324800759775764,0.4324800759775764,RNA
γδT2__THSD1,0.4293971849620708,0.4293971849620708,RNA
DC__TUBA1A,0.42716176777180104,0.42716176777180104,RNA
DC__ATP1B3,0.4268621736545804,0.4268621736545804,RNA
cMono__BTG1,-0.4263891736054863,0.4263891736054863,RNA
cMono__TRA2B,-0.42572099006289754,0.42572099006289754,RNA
CD4_Treg__PBXIP1,0.4240632080073204,0.4240632080073204,RNA
CD4_Naïve__IRF2BP2,-0.42341097995324894,0.42341097995324894,RNA
NKT__ADGRG1,0.4225914787795754,0.4225914787795754,RNA
