feature,age_pearson,abs_corr,modality
ATAC__CD4_Naïve__chr6:22062657-22063158,-0.700166821144603,0.700166821144603,ATAC
ATAC__CD4_Naïve__chr1:240666506-240667007,0.6642967541123175,0.6642967541123175,ATAC
ATAC__CD4_Naïve__chr4:174522376-174522877,-0.6119245734247025,0.6119245734247025,ATAC
ATAC__CD4_Naïve__chr6:21593409-21593910,-0.6086038345204083,0.6086038345204083,ATAC
ATAC__CD4_Naïve__chr6:22148331-22148832,-0.604422701953102,0.604422701953102,ATAC
ATAC__CD4_Naïve__chr19:50728334-50728835,-0.5850577622961177,0.5850577622961177,ATAC
ATAC__CD4_Naïve__chr22:40121485-40121986,-0.5803308386754512,0.5803308386754512,ATAC
ATAC__CD4_Naïve__chr15:87597630-87598131,0.5780669639084113,0.5780669639084113,ATAC
ATAC__CD4_Naïve__chr3:55664266-55664767,-0.5743532894769956,0.5743532894769956,ATAC
ATAC__CD4_Naïve__chr2:147297750-147298251,0.5741051368378113,0.5741051368378113,ATAC
ATAC__CD4_Naïve__chr21:42159931-42160432,-0.5724814455215698,0.5724814455215698,ATAC
ATAC__CD4_Naïve__chr2:170341867-170342368,-0.5671836431028099,0.5671836431028099,ATAC
ATAC__CD4_Naïve__chr6:22146063-22146564,-0.5460716346738406,0.5460716346738406,ATAC
ATAC__CD4_Naïve__chrX:69615697-69616198,0.5460013917406444,0.5460013917406444,ATAC
ATAC__CD4_Naïve__chr2:216693044-216693545,-0.5452460635225074,0.5452460635225074,ATAC
ATAC__CD4_Naïve__chr18:55589656-55590157,-0.5386192922488237,0.5386192922488237,ATAC
ATAC__CD4_Naïve__chr2:101981501-101982002,-0.5349411248971326,0.5349411248971326,ATAC
ATAC__CD4_Naïve__chr2:213153581-213154082,-0.5264038817075815,0.5264038817075815,ATAC
ATAC__CD4_Naïve__chr10:33114341-33114842,0.525080759766884,0.525080759766884,ATAC
ATAC__CD4_Naïve__chr17:3770995-3771496,-0.5239171941912635,0.5239171941912635,ATAC
ATAC__CD4_Naïve__chr3:90689183-90689684,0.5219453135517843,0.5219453135517843,ATAC
ATAC__CD4_Naïve__chr10:65501140-65501641,0.5182057381916274,0.5182057381916274,ATAC
ATAC__CD4_Naïve__chr7:158991826-158992327,-0.5162665520877636,0.5162665520877636,ATAC
ATAC__CD4_Naïve__chr13:28492468-28492969,-0.5077806591239512,0.5077806591239512,ATAC
ATAC__CD4_Naïve__chr7:2040754-2041255,-0.49717792253371146,0.49717792253371146,ATAC
ATAC__CD4_Naïve__chr15:63414773-63415274,-0.4960960797374756,0.4960960797374756,ATAC
ATAC__CD4_Naïve__chr18:58721721-58722222,-0.4798644239840704,0.4798644239840704,ATAC
ATAC__CD4_Naïve__chr1:243122826-243123327,-0.47915940519702643,0.47915940519702643,ATAC
Missing__ATAC__CD8_Naïve,0.47533982571424604,0.47533982571424604,ATAC
ATAC__CD4_Naïve__chr14:92535245-92535746,-0.47207154995031897,0.47207154995031897,ATAC
ATAC__CD4_Naïve__chr21:22421363-22421864,-0.4696157665510586,0.4696157665510586,ATAC
ATAC__immature_T__chr14:65478505-65479006,0.4693513320940933,0.4693513320940933,ATAC
ATAC__CD4_Naïve__chr6:22045187-22045688,-0.4684862381752257,0.4684862381752257,ATAC
ATAC__CD4_Naïve__chrX:106802367-106802868,0.46720758628248255,0.46720758628248255,ATAC
ATAC__CD4_Naïve__chr19:47447528-47448029,-0.4671076418512563,0.4671076418512563,ATAC
ATAC__CD4_Naïve__chr13:18998288-18998789,0.46589936345171257,0.46589936345171257,ATAC
ATAC__CD8_Tem__chr17:76139868-76140369,-0.46306826922593053,0.46306826922593053,ATAC
ATAC__CD4_Naïve__chr10:11009647-11010148,-0.46135283126934146,0.46135283126934146,ATAC
ATAC__CD8_CTL__chr1:228212861-228213362,-0.4594515106541378,0.4594515106541378,ATAC
ATAC__CD4_Naïve__chr22:20810539-20811040,-0.45925588577503085,0.45925588577503085,ATAC
ATAC__CD4_Naïve__chr3:196803806-196804307,-0.458098533702828,0.458098533702828,ATAC
ATAC__CD4_Naïve__chr4:69661057-69661558,0.4576484342941505,0.4576484342941505,ATAC
ATAC__CD4_Naïve__chr3:42638285-42638786,0.45391510583136885,0.45391510583136885,ATAC
ATAC__CD4_Naïve__chrY:19077272-19077773,-0.45271572396325255,0.45271572396325255,ATAC
ATAC__CD4_Naïve__chr1:64506211-64506712,-0.4524505741339291,0.4524505741339291,ATAC
ATAC__CD4_Helper__chr10:104935591-104936092,0.45233627528303905,0.45233627528303905,ATAC
ATAC__Naïve_B__chr9:105500349-105500850,0.4521643785564349,0.4521643785564349,ATAC
ATAC__CD4_Tcm__chr1:240666506-240667007,0.45123197994366515,0.45123197994366515,ATAC
ATAC__CD4_Naïve__chr11:95688395-95688896,0.45084540817789287,0.45084540817789287,ATAC
ATAC__CD4_Naïve__chr12:22396289-22396790,0.44854994450688285,0.44854994450688285,ATAC
ATAC__CD4_Naïve__chr7:99372807-99373308,-0.4482574997995055,0.4482574997995055,ATAC
ATAC__CD4_Naïve__chr16:70736938-70737439,-0.446050531748749,0.446050531748749,ATAC
ATAC__immature_T__chr3:15801228-15801729,0.4450854206622025,0.4450854206622025,ATAC
ATAC__CD4_Naïve__chr2:213151630-213152131,-0.4442738571644046,0.4442738571644046,ATAC
ATAC__CD4_Naïve__chr2:172970657-172971158,-0.4427609721924385,0.4427609721924385,ATAC
ATAC__CD4_Naïve__chr11:35343138-35343639,0.44220470351808194,0.44220470351808194,ATAC
ATAC__CD4_Naïve__chr15:31357094-31357595,-0.4420435484347547,0.4420435484347547,ATAC
ATAC__CD4_Naïve__chr4:140049174-140049675,-0.4400296981293903,0.4400296981293903,ATAC
ATAC__CD4_Naïve__chr1:237736674-237737175,0.4365046038012523,0.4365046038012523,ATAC
ATAC__CD8_Tem__chr2:98479897-98480398,-0.43485973388559673,0.43485973388559673,ATAC
ATAC__CD8_Tem__chr10:132387837-132388338,-0.4337580981906301,0.4337580981906301,ATAC
ATAC__CD8_CTL__chr22:37696665-37697166,-0.4327117570933389,0.4327117570933389,ATAC
ATAC__CD4_Naïve__chr3:124584194-124584695,0.4325915604366819,0.4325915604366819,ATAC
ATAC__CD4_Naïve__chr14:98103641-98104142,-0.4320081431012163,0.4320081431012163,ATAC
ATAC__CD4_Naïve__chr10:110868937-110869438,-0.43128746381419,0.43128746381419,ATAC
ATAC__CD4_Naïve__chr14:106276293-106276794,-0.43022966886373903,0.43022966886373903,ATAC
ATAC__CD4_Naïve__chr18:9083747-9084248,0.4300519340303923,0.4300519340303923,ATAC
ATAC__CD4_Naïve__chr10:110834806-110835307,-0.4294408469339518,0.4294408469339518,ATAC
ATAC__CD4_Naïve__chr2:147449361-147449862,0.4280030226818095,0.4280030226818095,ATAC
ATAC__CD4_Naïve__chr7:36777787-36778288,-0.42742422477125547,0.42742422477125547,ATAC
ATAC__CD4_Naïve__chr14:35367644-35368145,-0.42740686117465476,0.42740686117465476,ATAC
ATAC__CD4_Tcm__chr3:95721862-95722363,0.42713316779066224,0.42713316779066224,ATAC
ATAC__CD4_Naïve__chr5:124162761-124163262,-0.42697279936241117,0.42697279936241117,ATAC
ATAC__CD4_Naïve__chr20:52975263-52975764,0.42656098864322123,0.42656098864322123,ATAC
ATAC__CD8_Tem__chr2:105398841-105399342,-0.42606715378607607,0.42606715378607607,ATAC
ATAC__CD4_Helper__chr1:237736674-237737175,0.4256678886132942,0.4256678886132942,ATAC
ATAC__CD4_Naïve__chr8:133303090-133303591,0.4251844120118524,0.4251844120118524,ATAC
