order,feature,cell_type
0,ATAC__CD4_Naïve__chr6:22062657-22063158,CD4_Naïve
1,ATAC__CD4_Naïve__chr1:240666506-240667007,CD4_Naïve
2,ATAC__CD4_Naïve__chr4:174522376-174522877,CD4_Naïve
3,ATAC__CD4_Naïve__chr6:21593409-21593910,CD4_Naïve
4,ATAC__CD4_Naïve__chr6:22148331-22148832,CD4_Naïve
5,ATAC__CD4_Naïve__chr19:50728334-50728835,CD4_Naïve
6,ATAC__CD4_Naïve__chr22:40121485-40121986,CD4_Naïve
7,ATAC__CD4_Naïve__chr15:87597630-87598131,CD4_Naïve
8,ATAC__CD4_Naïve__chr3:55664266-55664767,CD4_Naïve
9,ATAC__CD4_Naïve__chr2:147297750-147298251,CD4_Naïve
10,ATAC__CD4_Naïve__chr21:42159931-42160432,CD4_Naïve
11,ATAC__CD4_Naïve__chr2:170341867-170342368,CD4_Naïve
12,ATAC__CD4_Naïve__chr6:22146063-22146564,CD4_Naïve
13,ATAC__CD4_Naïve__chrX:69615697-69616198,CD4_Naïve
14,ATAC__CD4_Naïve__chr2:216693044-216693545,CD4_Naïve
15,ATAC__CD4_Naïve__chr18:55589656-55590157,CD4_Naïve
16,ATAC__CD4_Naïve__chr2:101981501-101982002,CD4_Naïve
17,ATAC__CD4_Naïve__chr2:213153581-213154082,CD4_Naïve
18,ATAC__CD4_Naïve__chr10:33114341-33114842,CD4_Naïve
19,ATAC__CD4_Naïve__chr17:3770995-3771496,CD4_Naïve
20,ATAC__CD4_Naïve__chr3:90689183-90689684,CD4_Naïve
21,ATAC__CD4_Naïve__chr10:65501140-65501641,CD4_Naïve
22,ATAC__CD4_Naïve__chr7:158991826-158992327,CD4_Naïve
23,ATAC__CD4_Naïve__chr13:28492468-28492969,CD4_Naïve
24,ATAC__CD4_Naïve__chr7:2040754-2041255,CD4_Naïve
25,ATAC__CD4_Naïve__chr15:63414773-63415274,CD4_Naïve
26,ATAC__CD4_Naïve__chr18:58721721-58722222,CD4_Naïve
27,ATAC__CD4_Naïve__chr1:243122826-243123327,CD4_Naïve
28,ATAC__CD4_Naïve__chr14:92535245-92535746,CD4_Naïve
29,ATAC__CD4_Naïve__chr21:22421363-22421864,CD4_Naïve
30,ATAC__immature_T__chr14:65478505-65479006,immature_T
31,ATAC__CD4_Naïve__chr6:22045187-22045688,CD4_Naïve
32,ATAC__CD4_Naïve__chrX:106802367-106802868,CD4_Naïve
33,ATAC__CD4_Naïve__chr19:47447528-47448029,CD4_Naïve
34,ATAC__CD4_Naïve__chr13:18998288-18998789,CD4_Naïve
35,ATAC__CD8_Tem__chr17:76139868-76140369,CD8_Tem
36,ATAC__CD4_Naïve__chr10:11009647-11010148,CD4_Naïve
