feature,age_pearson,abs_corr,modality
ATAC__CD4_Naïve__chr6:22062657-22063158,-0.700166821144603,0.700166821144603,ATAC
ATAC__CD4_Naïve__chr1:240666506-240667007,0.6642967541123175,0.6642967541123175,ATAC
ATAC__CD4_Naïve__chr4:174522376-174522877,-0.6119245734247025,0.6119245734247025,ATAC
ATAC__CD4_Naïve__chr6:21593409-21593910,-0.6086038345204083,0.6086038345204083,ATAC
ATAC__CD4_Naïve__chr6:22148331-22148832,-0.604422701953102,0.604422701953102,ATAC
CD4_Naïve__SYNE2,0.5977464192851949,0.5977464192851949,RNA
ATAC__CD4_Naïve__chr19:50728334-50728835,-0.5850577622961177,0.5850577622961177,ATAC
ATAC__CD4_Naïve__chr22:40121485-40121986,-0.5803308386754512,0.5803308386754512,ATAC
ATAC__CD4_Naïve__chr15:87597630-87598131,0.5780669639084113,0.5780669639084113,ATAC
ATAC__CD4_Naïve__chr3:55664266-55664767,-0.5743532894769956,0.5743532894769956,ATAC
ATAC__CD4_Naïve__chr2:147297750-147298251,0.5741051368378113,0.5741051368378113,ATAC
ATAC__CD4_Naïve__chr21:42159931-42160432,-0.5724814455215698,0.5724814455215698,ATAC
ATAC__CD4_Naïve__chr2:170341867-170342368,-0.5671836431028099,0.5671836431028099,ATAC
cMono__PELI1,-0.5564981321340292,0.5564981321340292,RNA
CD4_Naïve__TCEAL2,0.5521802830326786,0.5521802830326786,RNA
ATAC__CD4_Naïve__chr6:22146063-22146564,-0.5460716346738406,0.5460716346738406,ATAC
ATAC__CD4_Naïve__chrX:69615697-69616198,0.5460013917406444,0.5460013917406444,ATAC
ATAC__CD4_Naïve__chr2:216693044-216693545,-0.5452460635225074,0.5452460635225074,ATAC
ATAC__CD4_Naïve__chr18:55589656-55590157,-0.5386192922488237,0.5386192922488237,ATAC
ATAC__CD4_Naïve__chr2:101981501-101982002,-0.5349411248971326,0.5349411248971326,ATAC
ATAC__CD4_Naïve__chr2:213153581-213154082,-0.5264038817075815,0.5264038817075815,ATAC
ATAC__CD4_Naïve__chr10:33114341-33114842,0.525080759766884,0.525080759766884,ATAC
ATAC__CD4_Naïve__chr17:3770995-3771496,-0.5239171941912635,0.5239171941912635,ATAC
ATAC__CD4_Naïve__chr3:90689183-90689684,0.5219453135517843,0.5219453135517843,ATAC
ATAC__CD4_Naïve__chr10:65501140-65501641,0.5182057381916274,0.5182057381916274,ATAC
ATAC__CD4_Naïve__chr7:158991826-158992327,-0.5162665520877636,0.5162665520877636,ATAC
CD4_Tcm__KLRB1,-0.5111184917384024,0.5111184917384024,RNA
CD8_CTL__PIK3IP1,-0.5103215139227378,0.5103215139227378,RNA
CD4_Treg__SYNE2,0.5091445192976917,0.5091445192976917,RNA
ATAC__CD4_Naïve__chr13:28492468-28492969,-0.5077806591239512,0.5077806591239512,ATAC
ATAC__CD4_Naïve__chr7:2040754-2041255,-0.49717792253371146,0.49717792253371146,ATAC
ATAC__CD4_Naïve__chr15:63414773-63415274,-0.4960960797374756,0.4960960797374756,ATAC
cMono__ACTN1,-0.4889787836252085,0.4889787836252085,RNA
ATAC__CD4_Naïve__chr18:58721721-58722222,-0.4798644239840704,0.4798644239840704,ATAC
ATAC__CD4_Naïve__chr1:243122826-243123327,-0.47915940519702643,0.47915940519702643,ATAC
Missing__ATAC__CD8_Naïve,0.47533982571424604,0.47533982571424604,ATAC
CD4_Treg__TCF7,-0.47211075648959616,0.47211075648959616,RNA
ATAC__CD4_Naïve__chr14:92535245-92535746,-0.47207154995031897,0.47207154995031897,ATAC
CD4_Naïve__ANKRD12,0.4713812713069055,0.4713812713069055,RNA
ATAC__CD4_Naïve__chr21:22421363-22421864,-0.4696157665510586,0.4696157665510586,ATAC
ATAC__immature_T__chr14:65478505-65479006,0.4693513320940933,0.4693513320940933,ATAC
ATAC__CD4_Naïve__chr6:22045187-22045688,-0.4684862381752257,0.4684862381752257,ATAC
ATAC__CD4_Naïve__chrX:106802367-106802868,0.46720758628248255,0.46720758628248255,ATAC
ATAC__CD4_Naïve__chr19:47447528-47448029,-0.4671076418512563,0.4671076418512563,ATAC
cMono__ZNF655,-0.46610627009066585,0.46610627009066585,RNA
ATAC__CD4_Naïve__chr13:18998288-18998789,0.46589936345171257,0.46589936345171257,ATAC
CD4_Naïve__MPHOSPH8,0.464788816553533,0.464788816553533,RNA
CD4_Naïve__RGS10,-0.46414195447119944,0.46414195447119944,RNA
ATAC__CD8_Tem__chr17:76139868-76140369,-0.46306826922593053,0.46306826922593053,ATAC
CD8_CTL__EEF1B2,-0.463036641373136,0.463036641373136,RNA
CD8_CTL__NFKBIZ,-0.4620503113357512,0.4620503113357512,RNA
CD8_CTL__RGS10,-0.46197058861651064,0.46197058861651064,RNA
CD4_Naïve__SOX4,-0.46168015566208614,0.46168015566208614,RNA
CD4_Naïve__SF3B1,-0.4615607433253016,0.4615607433253016,RNA
ATAC__CD4_Naïve__chr10:11009647-11010148,-0.46135283126934146,0.46135283126934146,ATAC
CD8_CTL__GOLGA8B,-0.4611576827649894,0.4611576827649894,RNA
ATAC__CD8_CTL__chr1:228212861-228213362,-0.4594515106541378,0.4594515106541378,ATAC
ATAC__CD4_Naïve__chr22:20810539-20811040,-0.45925588577503085,0.45925588577503085,ATAC
ATAC__CD4_Naïve__chr3:196803806-196804307,-0.458098533702828,0.458098533702828,ATAC
ATAC__CD4_Naïve__chr4:69661057-69661558,0.4576484342941505,0.4576484342941505,ATAC
CD8_Tem__ZBTB1,-0.4571951092106364,0.4571951092106364,RNA
Naïve_B__KMT2C,0.4568216251902217,0.4568216251902217,RNA
Swit.Bm__PDS5B,0.4553846042383031,0.4553846042383031,RNA
CD4_Helper__SYNE2,0.45439767523005575,0.45439767523005575,RNA
ATAC__CD4_Naïve__chr3:42638285-42638786,0.45391510583136885,0.45391510583136885,ATAC
CD4_Treg__SATB1,-0.4535408619858334,0.4535408619858334,RNA
CD8_CTL__SRSF11,-0.4528767943440814,0.4528767943440814,RNA
ATAC__CD4_Naïve__chrY:19077272-19077773,-0.45271572396325255,0.45271572396325255,ATAC
ATAC__CD4_Naïve__chr1:64506211-64506712,-0.4524505741339291,0.4524505741339291,ATAC
ATAC__CD4_Helper__chr10:104935591-104936092,0.45233627528303905,0.45233627528303905,ATAC
ATAC__Naïve_B__chr9:105500349-105500850,0.4521643785564349,0.4521643785564349,ATAC
ATAC__CD4_Tcm__chr1:240666506-240667007,0.45123197994366515,0.45123197994366515,ATAC
ATAC__CD4_Naïve__chr11:95688395-95688896,0.45084540817789287,0.45084540817789287,ATAC
ATAC__CD4_Naïve__chr12:22396289-22396790,0.44854994450688285,0.44854994450688285,ATAC
ATAC__CD4_Naïve__chr7:99372807-99373308,-0.4482574997995055,0.4482574997995055,ATAC
cMono__IRS2,-0.44721155584136035,0.44721155584136035,RNA
ATAC__CD4_Naïve__chr16:70736938-70737439,-0.446050531748749,0.446050531748749,ATAC
CD8_Tem__IGFBP3,0.4455726725992717,0.4455726725992717,RNA
CD4_Naïve__PLXDC1,-0.4455420389428584,0.4455420389428584,RNA
ATAC__immature_T__chr3:15801228-15801729,0.4450854206622025,0.4450854206622025,ATAC
ATAC__CD4_Naïve__chr2:213151630-213152131,-0.4442738571644046,0.4442738571644046,ATAC
ATAC__CD4_Naïve__chr2:172970657-172971158,-0.4427609721924385,0.4427609721924385,ATAC
ATAC__CD4_Naïve__chr11:35343138-35343639,0.44220470351808194,0.44220470351808194,ATAC
ATAC__CD4_Naïve__chr15:31357094-31357595,-0.4420435484347547,0.4420435484347547,ATAC
DC__GNAI2,0.4409105918612296,0.4409105918612296,RNA
