feature,age_pearson,abs_corr,modality
ATAC__CD4_Naïve__chr7:2040754-2041255,-0.6815344335808795,0.6815344335808795,ATAC
ATAC__CD4_Naïve__chr4:174522376-174522877,-0.6787822893225102,0.6787822893225102,ATAC
ATAC__CD4_Naïve__chr6:22062657-22063158,-0.6237642329476127,0.6237642329476127,ATAC
ATAC__CD4_Naïve__chr2:213151630-213152131,-0.6056849978234963,0.6056849978234963,ATAC
ATAC__CD4_Naïve__chr19:50728334-50728835,-0.577884414000135,0.577884414000135,ATAC
ATAC__CD4_Naïve__chr2:101981501-101982002,-0.5715210783824972,0.5715210783824972,ATAC
ATAC__CD4_Naïve__chr17:3770995-3771496,-0.5615353582351265,0.5615353582351265,ATAC
ATAC__CD4_Naïve__chr6:21593409-21593910,-0.5598274553030036,0.5598274553030036,ATAC
ATAC__CD4_Naïve__chr6:22148331-22148832,-0.5597219869535162,0.5597219869535162,ATAC
ATAC__CD4_Naïve__chr11:95688395-95688896,0.5562105770750718,0.5562105770750718,ATAC
ATAC__CD4_Naïve__chr8:59531829-59532330,-0.549677955063109,0.549677955063109,ATAC
ATAC__CD4_Naïve__chr3:90689183-90689684,0.5449568613997032,0.5449568613997032,ATAC
ATAC__CD4_Naïve__chr7:158991826-158992327,-0.5283440391607195,0.5283440391607195,ATAC
ATAC__CD4_Naïve__chr10:70613879-70614380,-0.5280100487243591,0.5280100487243591,ATAC
CD4_Naïve__RGS10,-0.5271525400309515,0.5271525400309515,RNA
ATAC__CD4_Naïve__chr2:47023319-47023820,-0.5245392598477109,0.5245392598477109,ATAC
ATAC__CD4_Tcm__chr14:92891148-92891649,0.5185988342583482,0.5185988342583482,ATAC
CD4_Naïve__SOX4,-0.5184513707253527,0.5184513707253527,RNA
DC__SERPINA1,0.516652610579782,0.516652610579782,RNA
ATAC__CD4_Naïve__chr15:63414773-63415274,-0.5128361528881873,0.5128361528881873,ATAC
CD4_Tcm__AUTS2,-0.5123972617952907,0.5123972617952907,RNA
ATAC__CD4_Naïve__chr8:2733521-2734022,-0.5096470015146716,0.5096470015146716,ATAC
ATAC__CD4_Naïve__chr15:87597630-87598131,0.5068233736661869,0.5068233736661869,ATAC
ATAC__CD4_Naïve__chr10:33134044-33134545,0.502361787052376,0.502361787052376,ATAC
CD4_Naïve__PTGER2,0.5015037211090864,0.5015037211090864,RNA
ATAC__CD4_Naïve__chr22:40121485-40121986,-0.500862158364555,0.500862158364555,ATAC
ATAC__CD4_Naïve__chr1:40640541-40641042,-0.5004603950136806,0.5004603950136806,ATAC
CD4_Naïve__SYNE2,0.49990173465543764,0.49990173465543764,RNA
ATAC__CD4_Naïve__chr10:33028462-33028963,0.4992092889265408,0.4992092889265408,ATAC
ATAC__CD4_Naïve__chr18:55589656-55590157,-0.4981075057838609,0.4981075057838609,ATAC
CD4_Helper__SESN3,0.49806674048538135,0.49806674048538135,RNA
DC__SATB1,-0.49741036533264243,0.49741036533264243,RNA
ATAC__CD8_Tem__chr1:228212861-228213362,-0.49681876365452504,0.49681876365452504,ATAC
CD4_Naïve__TCEAL2,0.49680113957288485,0.49680113957288485,RNA
DC__TPPP3,0.4945104249218235,0.4945104249218235,RNA
ATAC__γδT2__chr5:88674762-88675263,0.49340245237725766,0.49340245237725766,ATAC
CD4_Naïve__LDOC1,0.49336708502131926,0.49336708502131926,RNA
ATAC__CD8_Tem__chr20:46010448-46010949,-0.4891204833102019,0.4891204833102019,ATAC
ATAC__CD4_Naïve__chr1:94092220-94092721,-0.48638742309215566,0.48638742309215566,ATAC
ATAC__CD4_Naïve__chr3:13549521-13550022,-0.48472956386768956,0.48472956386768956,ATAC
ATAC__CD4_Naïve__chr2:237707395-237707896,-0.4839192505482668,0.4839192505482668,ATAC
ATAC__CD4_Naïve__chr22:40418705-40419206,-0.4827912009677351,0.4827912009677351,ATAC
DC__RNF135,0.48245058006442687,0.48245058006442687,RNA
CD4_Tcm__KLRB1,-0.48221125413265925,0.48221125413265925,RNA
ATAC__CD4_Naïve__chr12:27822240-27822741,0.47957251549208263,0.47957251549208263,ATAC
CD4_Naïve__GYPC,-0.47944954066209244,0.47944954066209244,RNA
ATAC__CD4_Naïve__chr20:52974116-52974617,0.46949227966344903,0.46949227966344903,ATAC
ATAC__CD4_Naïve__chr21:22421363-22421864,-0.46914557561648196,0.46914557561648196,ATAC
ATAC__CD4_Naïve__chr8:81574840-81575341,0.4678271499491117,0.4678271499491117,ATAC
ATAC__CD4_Naïve__chr19:1908988-1909489,-0.4663214499794135,0.4663214499794135,ATAC
ATAC__CD4_Naïve__chr22:36327970-36328471,-0.4641053357722064,0.4641053357722064,ATAC
ATAC__CD4_Naïve__chr11:12192731-12193232,-0.4636207412919758,0.4636207412919758,ATAC
DC__GNAI2,0.4631687864186734,0.4631687864186734,RNA
ATAC__CD4_Naïve__chr2:147297750-147298251,0.4618027492591287,0.4618027492591287,ATAC
ATAC__CD4_Naïve__chr10:65501140-65501641,0.4616114355017454,0.4616114355017454,ATAC
ATAC__CD4_Naïve__chr22:20245040-20245541,-0.45981970517402254,0.45981970517402254,ATAC
ATAC__CD4_Naïve__chr4:121227422-121227923,0.45964244973374124,0.45964244973374124,ATAC
DC__S100A11,0.45564223452343344,0.45564223452343344,RNA
ATAC__CD4_Naïve__chr21:42002408-42002909,0.4549861857562391,0.4549861857562391,ATAC
ATAC__CD4_Naïve__chr6:149508437-149508938,0.4545521540393417,0.4545521540393417,ATAC
ATAC__CD4_Naïve__chr10:33150816-33151317,0.4542944571637407,0.4542944571637407,ATAC
CD8_Tem__CD70,0.4532573622182037,0.4532573622182037,RNA
ATAC__CD8_Tem__chr7:142784658-142785159,-0.4520062978079273,0.4520062978079273,ATAC
ATAC__CD4_Naïve__chr3:174440632-174441133,-0.4519827590790107,0.4519827590790107,ATAC
CD4_Tcm__NAP1L2,0.45012141951707596,0.45012141951707596,RNA
ATAC__CD4_Naïve__chr17:82909330-82909831,-0.4495642201239202,0.4495642201239202,ATAC
CD4_Naïve__PBXIP1,0.4491406199859868,0.4491406199859868,RNA
CD4_Naïve__SESN3,0.4467496442072934,0.4467496442072934,RNA
DC__PGAM1,0.44445007039364304,0.44445007039364304,RNA
ATAC__CD8_Tem__chr16:89256820-89257321,-0.4434196969669935,0.4434196969669935,ATAC
Missing__ATAC__CD8_Naïve,0.4427474325510385,0.4427474325510385,ATAC
ATAC__CD4_Naïve__chr8:81569178-81569679,0.4426212224406157,0.4426212224406157,ATAC
ATAC__CD8_Tem__chr5:108380523-108381024,-0.44239676576327447,0.44239676576327447,ATAC
DC__ACTN1,-0.4422837366109713,0.4422837366109713,RNA
