order,feature,cell_type
0,ATAC__CD4_Naïve__chr7:2040754-2041255,CD4_Naïve
1,ATAC__CD4_Naïve__chr4:174522376-174522877,CD4_Naïve
2,ATAC__CD4_Naïve__chr6:22062657-22063158,CD4_Naïve
3,ATAC__CD4_Naïve__chr2:213151630-213152131,CD4_Naïve
4,ATAC__CD4_Naïve__chr19:50728334-50728835,CD4_Naïve
5,ATAC__CD4_Naïve__chr2:101981501-101982002,CD4_Naïve
6,ATAC__CD4_Naïve__chr17:3770995-3771496,CD4_Naïve
7,ATAC__CD4_Naïve__chr6:21593409-21593910,CD4_Naïve
8,ATAC__CD4_Naïve__chr6:22148331-22148832,CD4_Naïve
9,ATAC__CD4_Naïve__chr11:95688395-95688896,CD4_Naïve
10,ATAC__CD4_Naïve__chr8:59531829-59532330,CD4_Naïve
11,ATAC__CD4_Naïve__chr3:90689183-90689684,CD4_Naïve
12,ATAC__CD4_Naïve__chr7:158991826-158992327,CD4_Naïve
13,ATAC__CD4_Naïve__chr10:70613879-70614380,CD4_Naïve
14,ATAC__CD4_Naïve__chr2:47023319-47023820,CD4_Naïve
15,ATAC__CD4_Tcm__chr14:92891148-92891649,CD4_Tcm
16,ATAC__CD4_Naïve__chr15:63414773-63415274,CD4_Naïve
17,ATAC__CD4_Naïve__chr8:2733521-2734022,CD4_Naïve
18,ATAC__CD4_Naïve__chr15:87597630-87598131,CD4_Naïve
19,ATAC__CD4_Naïve__chr10:33134044-33134545,CD4_Naïve
20,ATAC__CD4_Naïve__chr22:40121485-40121986,CD4_Naïve
21,ATAC__CD4_Naïve__chr1:40640541-40641042,CD4_Naïve
22,ATAC__CD4_Naïve__chr10:33028462-33028963,CD4_Naïve
23,ATAC__CD4_Naïve__chr18:55589656-55590157,CD4_Naïve
24,ATAC__CD8_Tem__chr1:228212861-228213362,CD8_Tem
25,ATAC__γδT2__chr5:88674762-88675263,γδT2
26,ATAC__CD8_Tem__chr20:46010448-46010949,CD8_Tem
27,ATAC__CD4_Naïve__chr1:94092220-94092721,CD4_Naïve
28,ATAC__CD4_Naïve__chr3:13549521-13550022,CD4_Naïve
29,ATAC__CD4_Naïve__chr2:237707395-237707896,CD4_Naïve
30,ATAC__CD4_Naïve__chr22:40418705-40419206,CD4_Naïve
31,ATAC__CD4_Naïve__chr12:27822240-27822741,CD4_Naïve
32,ATAC__CD4_Naïve__chr20:52974116-52974617,CD4_Naïve
33,ATAC__CD4_Naïve__chr21:22421363-22421864,CD4_Naïve
34,ATAC__CD4_Naïve__chr8:81574840-81575341,CD4_Naïve
35,ATAC__CD4_Naïve__chr19:1908988-1909489,CD4_Naïve
36,ATAC__CD4_Naïve__chr22:36327970-36328471,CD4_Naïve
37,ATAC__CD4_Naïve__chr11:12192731-12193232,CD4_Naïve
38,ATAC__CD4_Naïve__chr2:147297750-147298251,CD4_Naïve
39,ATAC__CD4_Naïve__chr10:65501140-65501641,CD4_Naïve
40,ATAC__CD4_Naïve__chr22:20245040-20245541,CD4_Naïve
41,ATAC__CD4_Naïve__chr4:121227422-121227923,CD4_Naïve
42,ATAC__CD4_Naïve__chr21:42002408-42002909,CD4_Naïve
